,Brand,Gender,Price,Color
0,DKNY,Unisex,11745, Black
1,EthnoVogue,Women,5810, Beige
2,SPYKAR,Women,899, Pink
3,Raymond,Men,5599,Blue
4,Parx,Men,759, White
5,SHOWOFF,Men,791, Brown
6,Parx,Men,719,Blue
7,SPYKAR,Women,899, Burgundy
8,Parx,Men,664, Red
9,DKNY,Unisex,17360, Black
10,Kenneth Cole,Women,2463,Blue
11,Parx,Men,629, Green
13,Vishudh,Women,892, Maroon
14,Parx,Men,752, Red
15,Being Human,Men,1079, Navy
16,Homesake,Unisex,1620, White
17,SEJ by Nisha Gupta,Unisex,899,Blue
18,YAK YAK,Men,599, Brown
19,PARFAIT,Women,1749, Red
21,HIGHLANDER,Men,699, Black
22,SEJ by Nisha Gupta,Unisex,899, Red
23,SPYKAR,Women,1199,Blue
24,JEWEL JUNCTION,Men,539, Gold
25,ID,Men,2385, Brown
26,Story@home,Unisex,1199, Red
27,Raymond,Men,1079,Blue
28,Gini and Jony,Boys,699,Blue
30,Sera,Women,1437,Blue
31,AccessHer,Women,979, Pink
32,Parx,Men,779,Blue
33,Alcis,Women,749,Blue
34,ID,Men,956, Brown
35,Difference of Opinion,Men,499,Blue
36,Parx,Men,769,Blue
37,Michael Kors,Men,4275,Blue
38,Tokyo Talkies,Women,499, White
40,HIGHLANDER,Men,699,Blue
41,her by invictus,Women,1044, Brown
42,ID,Men,2685, Beige
43,SPYKAR,Women,1124,Blue
44,SPYKAR,Women,989,Blue
45,Soie,Women,750, Red
46,Lara Karen,Women,1999, Black
47,Gini and Jony,Girls,1619, Yellow
48,Story@home,Unisex,1199,Blue
49,PARFAIT,Women,1189,Blue
50,Urban Dog,Men,399, Grey
51,ahilya,Women,9756, Red
52,PARFAIT,Women,1609,Blue
53,VASTRAMAY,Boys,1469,Blue
54,Difference of Opinion,Men,499, Grey
55,Campus Sutra,Men,479,Blue
56,FIDO DIDO,Men,449, White
57,MIAH Decor,Unisex,1469, Black
58,JEWEL JUNCTION,Men,539, Gold
59,Vishudh,Women,1299, Green
60,Urban Dog,Men,399, Grey
61,PARFAIT,Women,499,Blue
62,SEJ by Nisha Gupta,Unisex,899,Blue
63,ID,Men,1218, Brown
64,PARFAIT,Women,1609, Red
65,SPYKAR,Women,1214,Blue
66,SPYKAR,Women,899,Blue
67,Raymond,Men,1154,Blue
68,BuckleUp,Women,449, Red
69,Peter England,Men,266, Black
70,AIGNER,Men,3640, Platinum
71,Gini and Jony,Girls,1189,Blue
72,Homesake,Unisex,1836, Gold
73,Campus Sutra,Men,699, Black
74,MIAH Decor,Unisex,3116,Blue
75,Gini and Jony,Girls,1484, Red
76,SEJ by Nisha Gupta,Unisex,999,Blue
77,Parx,Men,859,Blue
78,PARFAIT,Women,1679, Red
79,Parx,Men,939,Blue
81,SEJ by Nisha Gupta,Unisex,799, Red
82,her by invictus,Women,1299, Red
83,JEWEL JUNCTION,Men,539, Black
84,PARFAIT,Women,1749, Red
85,her by invictus,Women,949, Brown
86,DKNY,Unisex,13320, Black
87,Parx,Men,647, Yellow
88,Story@home,Unisex,1799, Grey
89,Parx,Men,779,Blue
90,her by invictus,Women,1999, Green
91,Park Avenue,Women,569,Blue
92,Roadster,Women,1699, Red
93,her by invictus,Women,944, Red
94,U.S. Polo Assn. Denim Co.,Men,3499,Blue
95,SEJ by Nisha Gupta,Unisex,899, Pink
96,Gini and Jony,Girls,1329,Blue
97,Sweet Dreams,Men,699,Blue
98,Kazo,Women,1345, Yellow
99,Gini and Jony,Boys,649, Red
100,PARFAIT,Women,1189, Red
101,Parx,Men,839,Blue
102,Parx,Men,577, Red
103,ID,Men,1432, Brown
104,Stylo Bug,Girls,698,Blue
105,PARFAIT,Women,899, Red
107,JEWEL JUNCTION,Men,539, Gold
108,Tokyo Talkies,Women,499, Red
110,Sera,Women,547, Black
111,Gini and Jony,Boys,839, Red
112,AccessHer,Women,559, Black
114,ahilya,Women,3875, Silver
115,SPYKAR,Women,1214,Blue
116,FIDO DIDO,Men,599, Black
117,Parx,Men,739, Pink
118,Parx,Men,739,Blue
119,Sera,Women,714, White
121,ID,Men,1685, Grey
122,JEWEL JUNCTION,Men,539, Silver
123,DKNY,Unisex,14400, White
124,Parx,Men,839, Khaki
126,PARFAIT,Women,1749,Blue
127,Lady Lyka,Women,510, Burgundy
128,Difference of Opinion,Men,499, Green
130,Homesake,Unisex,1732, White
131,ID,Men,1627, Black
132,Soie,Women,693, Red
133,GAS,Women,3595,Blue
134,Homesake,Unisex,1890,Blue
135,HIGHLANDER,Men,1299,Blue
136,WITH,Men,684, Black
137,ID,Men,2685, Black
138,SPYKAR,Women,1999, White
